correct_ans,images,type_of_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
right,images/cat_eyes.jpeg,cat,0,0,0,3,right,1,1.17014598846,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
up,images/marshmallow_hog.jpeg,hog,0,1,1,8,right,0,0.865843057632,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
up,images/icecream_hog.jpeg,hog,0,2,2,7,up,1,0.797833919525,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
right,images/ear_muffs_cat.jpeg,cat,0,3,3,4,right,1,0.83268904686,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
right,images/rat_cat.jpeg,cat,0,4,4,5,right,1,0.698572874069,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
left,images/gorilla_tongue.jpeg,gorilla,0,5,5,2,left,1,0.531311988831,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
up,images/egg_hog.jpeg,hog,0,6,6,6,up,1,0.782217025757,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
up,images/santa_hog.jpeg,hog,0,7,7,9,up,1,0.748795032501,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
left,images/gorilla_fat.jpeg,gorilla,0,8,8,1,left,1,0.581332206726,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
left,images/gorilla_face.jpeg,gorilla,0,9,9,0,left,1,0.548118114471,2015_Jul_01_1155,59.7229080698,visneuro_demo,001,001,
